Event,Medal,Rank,Country,Country_Code,Athlete,Continent,Host City,Year
5000m men,Gold,1,Netherlands,NED,Sven KRAMER,Europe,Pyeongchang,2018
5000m men,Silver,2,Canada,CAN,Ted-Jan BLOEMEN,North America,Pyeongchang,2018
5000m men,Bronze,3,Norway,NOR,Sverre Lunde PEDERSEN,Europe,Pyeongchang,2018
Mass start women,Gold,1,Japan,JPN,Nana TAKAGI,Asia,Pyeongchang,2018
Mass start women,Silver,2,Republic of Korea,KOR,Bo Reum KIM,Asia,Pyeongchang,2018
Mass start women,Bronze,3,Netherlands,NED,Irene SCHOUTEN,Europe,Pyeongchang,2018
500m men,Gold,1,Norway,NOR,Havard LORENTZEN,Europe,Pyeongchang,2018
500m men,Silver,2,Republic of Korea,KOR,Min Kyu CHA,Asia,Pyeongchang,2018
500m men,Bronze,3,People's Republic of China,CHN,Tingyu GAO,Asia,Pyeongchang,2018
500m women,Gold,1,Japan,JPN,Nao KODAIRA,Asia,Pyeongchang,2018
500m women,Silver,2,Republic of Korea,KOR,Sang-Hwa LEE,Asia,Pyeongchang,2018
500m women,Bronze,3,Czech Republic,CZE,Karolina ERBANOVA,Europe,Pyeongchang,2018
Team pursuit men,Gold,1,Norway,NOR,Team Norway,Europe,Pyeongchang,2018
Team pursuit men,Silver,2,Republic of Korea,KOR,Team Republic of Korea,Asia,Pyeongchang,2018
Team pursuit men,Bronze,3,Netherlands,NED,Team Netherlands,Europe,Pyeongchang,2018
10000m men,Gold,1,Canada,CAN,Ted-Jan BLOEMEN,North America,Pyeongchang,2018
10000m men,Silver,2,Netherlands,NED,Jorrit BERGSMA,Europe,Pyeongchang,2018
10000m men,Bronze,3,Italy,ITA,Nicola TUMOLERO,Europe,Pyeongchang,2018
1500m men,Gold,1,Netherlands,NED,Kjeld NUIS,Europe,Pyeongchang,2018
1500m men,Silver,2,Netherlands,NED,Patrick ROEST,Europe,Pyeongchang,2018
1500m men,Bronze,3,Republic of Korea,KOR,Min Seok KIM,Asia,Pyeongchang,2018
3000m women,Gold,1,Netherlands,NED,Carlijn ACHTEREEKTE,Europe,Pyeongchang,2018
3000m women,Silver,2,Netherlands,NED,Ireen WÜST,Europe,Pyeongchang,2018
3000m women,Bronze,3,Netherlands,NED,Antoinette DE JONG,Europe,Pyeongchang,2018
1000m men,Gold,1,Netherlands,NED,Kjeld NUIS,Europe,Pyeongchang,2018
1000m men,Silver,2,Norway,NOR,Havard LORENTZEN,Europe,Pyeongchang,2018
1000m men,Bronze,3,Republic of Korea,KOR,Tae-Yun KIM,Asia,Pyeongchang,2018
Team pursuit women,Gold,1,Japan,JPN,Team Japan,Asia,Pyeongchang,2018
Team pursuit women,Silver,2,Netherlands,NED,Team Netherlands,Europe,Pyeongchang,2018
Team pursuit women,Bronze,3,United States of America,USA,Team United States of America,North America,Pyeongchang,2018
5000m women,Gold,1,Netherlands,NED,Esmee VISSER,Europe,Pyeongchang,2018
5000m women,Silver,2,Czech Republic,CZE,Martina SABLIKOVA,Europe,Pyeongchang,2018
5000m women,Bronze,3,Olympic Athletes from Russia,OAR,Natalia VORONINA,Europe,Pyeongchang,2018
1500m women,Gold,1,Netherlands,NED,Ireen WÜST,Europe,Pyeongchang,2018
1500m women,Silver,2,Japan,JPN,Miho TAKAGI,Asia,Pyeongchang,2018
1500m women,Bronze,3,Netherlands,NED,Marrit LEENSTRA,Europe,Pyeongchang,2018
Mass start men,Gold,1,Republic of Korea,KOR,Seung Hoon LEE,Asia,Pyeongchang,2018
Mass start men,Silver,2,Belgium,BEL,Bart SWINGS,Europe,Pyeongchang,2018
Mass start men,Bronze,3,Netherlands,NED,Koen VERWEIJ,Europe,Pyeongchang,2018
1000m women,Gold,1,Netherlands,NED,Jorien TER MORS,Europe,Pyeongchang,2018
1000m women,Silver,2,Japan,JPN,Nao KODAIRA,Asia,Pyeongchang,2018
1000m women,Bronze,3,Japan,JPN,Miho TAKAGI,Asia,Pyeongchang,2018
Team pursuit women,Gold,1,Netherlands,NED,Team Netherlands,Europe,Sochi,2014
Team pursuit women,Silver,2,Poland,POL,Team Poland,Europe,Sochi,2014
Team pursuit women,Bronze,3,Russian Federation,RUS,Team Russian Federation,Europe,Sochi,2014
5000m men,Gold,1,Netherlands,NED,Sven KRAMER,Europe,Sochi,2014
5000m men,Silver,2,Netherlands,NED,Jan BLOKHUIJSEN,Europe,Sochi,2014
5000m men,Bronze,3,Netherlands,NED,Jorrit BERGSMA,Europe,Sochi,2014
5000m women,Gold,1,Czech Republic,CZE,Martina SABLIKOVA,Europe,Sochi,2014
5000m women,Silver,2,Netherlands,NED,Ireen WÜST,Europe,Sochi,2014
5000m women,Bronze,3,Netherlands,NED,Carien KLEIBEUKER,Europe,Sochi,2014
1000m men,Gold,1,Netherlands,NED,Stefan GROOTHUIS,Europe,Sochi,2014
1000m men,Silver,2,Canada,CAN,Denny MORRISON,North America,Sochi,2014
1000m men,Bronze,3,Netherlands,NED,Michel MULDER,Europe,Sochi,2014
3000m women,Gold,1,Netherlands,NED,Ireen WÜST,Europe,Sochi,2014
3000m women,Silver,2,Czech Republic,CZE,Martina SABLIKOVA,Europe,Sochi,2014
3000m women,Bronze,3,Russian Federation,RUS,Olga GRAF,Europe,Sochi,2014
1500m men,Gold,1,Poland,POL,Zbigniew BRODKA,Europe,Sochi,2014
1500m men,Silver,2,Netherlands,NED,Koen VERWEIJ,Europe,Sochi,2014
1500m men,Bronze,3,Canada,CAN,Denny MORRISON,North America,Sochi,2014
1500m women,Gold,1,Netherlands,NED,Jorien TER MORS,Europe,Sochi,2014
1500m women,Silver,2,Netherlands,NED,Ireen WÜST,Europe,Sochi,2014
1500m women,Bronze,3,Netherlands,NED,Lotte VAN BEEK,Europe,Sochi,2014
1000m women,Gold,1,Republic of Korea,KOR,Sang-Hwa LEE,Asia,Sochi,2014
1000m women,Silver,2,Russian Federation,RUS,Olga FATKULINA,Europe,Sochi,2014
1000m women,Bronze,3,Netherlands,NED,Margot BOER,Europe,Sochi,2014
1000m men,Gold,1,Netherlands,NED,Michel MULDER,Europe,Sochi,2014
1000m men,Silver,2,Netherlands,NED,Jan SMEEKENS,Europe,Sochi,2014
1000m men,Bronze,3,Netherlands,NED,Ronald MULDER,Europe,Sochi,2014
10000m men,Gold,1,Netherlands,NED,Jorrit BERGSMA,Europe,Sochi,2014
10000m men,Silver,2,Netherlands,NED,Sven KRAMER,Europe,Sochi,2014
10000m men,Bronze,3,Netherlands,NED,Bob Johannes Carolus DE JONG,Europe,Sochi,2014
1000m women,Gold,1,People's Republic of China,CHN,Hong ZHANG,Asia,Sochi,2014
1000m women,Silver,2,Netherlands,NED,Ireen WÜST,Europe,Sochi,2014
1000m women,Bronze,3,Netherlands,NED,Margot BOER,Europe,Sochi,2014
Team pursuit men,Gold,1,Netherlands,NED,Team Netherlands,Europe,Sochi,2014
Team pursuit men,Silver,2,Republic of Korea,KOR,Team Republic of Korea,Asia,Sochi,2014
Team pursuit men,Bronze,3,Poland,POL,Team Poland,Europe,Sochi,2014
5000m women,Gold,1,Czech Republic,CZE,Martina SABLIKOVA,Europe,Vancouver,2010
5000m women,Silver,2,Germany,GER,Stephanie BECKERT,Europe,Vancouver,2010
5000m women,Bronze,3,Canada,CAN,Clara HUGHES,North America,Vancouver,2010
1000m women,Gold,1,Canada,CAN,Christine NESBITT,North America,Vancouver,2010
1000m women,Silver,2,Netherlands,NED,Annette GERRITSEN,Europe,Vancouver,2010
1000m women,Bronze,3,Netherlands,NED,Laurine VAN RIESSEN,Europe,Vancouver,2010
1000m women,Gold,1,Republic of Korea,KOR,Sang-Hwa LEE,Asia,Vancouver,2010
1000m women,Silver,2,Germany,GER,Jenny WOLF,Europe,Vancouver,2010
1000m women,Bronze,3,People's Republic of China,CHN,Beixing WANG,Asia,Vancouver,2010
1500m men,Gold,1,Netherlands,NED,Mark TUITERT,Europe,Vancouver,2010
1500m men,Silver,2,United States of America,USA,Shani DAVIS,North America,Vancouver,2010
1500m men,Bronze,3,Norway,NOR,Havard BOKKO,Europe,Vancouver,2010
1500m women,Gold,1,Netherlands,NED,Ireen WÜST,Europe,Vancouver,2010
1500m women,Silver,2,Canada,CAN,Kristina GROVES,North America,Vancouver,2010
1500m women,Bronze,3,Czech Republic,CZE,Martina SABLIKOVA,Europe,Vancouver,2010
Team pursuit women,Gold,1,Germany,GER,Team Germany,Europe,Vancouver,2010
Team pursuit women,Silver,2,Japan,JPN,Team Japan,Asia,Vancouver,2010
Team pursuit women,Bronze,3,Poland,POL,Team Poland,Europe,Vancouver,2010
Team pursuit men,Gold,1,Canada,CAN,Team Canada,North America,Vancouver,2010
Team pursuit men,Silver,2,United States of America,USA,Team United States of America,North America,Vancouver,2010
Team pursuit men,Bronze,3,Netherlands,NED,Team Netherlands,Europe,Vancouver,2010
3000m women,Gold,1,Czech Republic,CZE,Martina SABLIKOVA,Europe,Vancouver,2010
3000m women,Silver,2,Germany,GER,Stephanie BECKERT,Europe,Vancouver,2010
3000m women,Bronze,3,Canada,CAN,Kristina GROVES,North America,Vancouver,2010
1000m men,Gold,1,United States of America,USA,Shani DAVIS,North America,Vancouver,2010
1000m men,Silver,2,Republic of Korea,KOR,Tae-Bum MO,Asia,Vancouver,2010
1000m men,Bronze,3,United States of America,USA,Chad HEDRICK,North America,Vancouver,2010
