index,Event,Medal,Rank,Country,Country_Code,Athlete,Continent,Host City,Year,Rank_bar
0,10000m men,Gold,1.0,Finland,FIN,Julius SKUTNABB,Europe,Chamonix,1924,3
1,10000m men,Silver,2.0,Finland,FIN,Clas THUNBERG,Europe,Chamonix,1924,2
2,10000m men,Bronze,3.0,Norway,NOR,Roald LARSEN,Europe,Chamonix,1924,1
3,1500m men,Gold,1.0,Finland,FIN,Clas THUNBERG,Europe,Chamonix,1924,3
4,1500m men,Silver,2.0,Norway,NOR,Roald LARSEN,Europe,Chamonix,1924,2
5,1500m men,Bronze,3.0,Norway,NOR,Sigurd MOEN,Europe,Chamonix,1924,1
6,5000m men,Gold,1.0,Finland,FIN,Clas THUNBERG,Europe,Chamonix,1924,3
7,5000m men,Silver,2.0,Finland,FIN,Julius SKUTNABB,Europe,Chamonix,1924,2
8,5000m men,Bronze,3.0,Norway,NOR,Roald LARSEN,Europe,Chamonix,1924,1
9,500m men,Gold,1.0,United States of America,USA,Charles JEWTRAW,North America,Chamonix,1924,3
10,500m men,Silver,2.0,Norway,NOR,Oskar OLSEN,Europe,Chamonix,1924,2
11,500m men,Bronze,3.0,Norway,NOR,Roald LARSEN,Europe,Chamonix,1924,1
12,500m men,Bronze,3.0,Finland,FIN,Clas THUNBERG,Europe,Chamonix,1924,1
13,Team pursuit men,Gold,1.0,Finland,FIN,Clas THUNBERG,Europe,Chamonix,1924,3
14,Team pursuit men,Silver,2.0,Norway,NOR,Roald LARSEN,Europe,Chamonix,1924,2
15,Team pursuit men,Bronze,3.0,Finland,FIN,Julius SKUTNABB,Europe,Chamonix,1924,1
16,1500m men,Gold,1.0,Finland,FIN,Clas THUNBERG,Europe,St-Moritz,1928,3
17,1500m men,Silver,2.0,Norway,NOR,Bernt EVENSEN,Europe,St-Moritz,1928,2
18,1500m men,Bronze,3.0,Norway,NOR,Ivar BALLANGRUD,Europe,St-Moritz,1928,1
19,5000m men,Gold,1.0,Norway,NOR,Ivar BALLANGRUD,Europe,St-Moritz,1928,3
20,5000m men,Silver,2.0,Finland,FIN,Julius SKUTNABB,Europe,St-Moritz,1928,2
21,5000m men,Bronze,3.0,Norway,NOR,Bernt EVENSEN,Europe,St-Moritz,1928,1
22,500m men,Gold,1.0,Norway,NOR,Bernt EVENSEN,Europe,St-Moritz,1928,3
23,500m men,Gold,1.0,Finland,FIN,Clas THUNBERG,Europe,St-Moritz,1928,3
24,500m men,Bronze,3.0,United States of America,USA,John O FARRELL,North America,St-Moritz,1928,1
25,500m men,Bronze,3.0,Finland,FIN,Jaakko FRIMAN,Europe,St-Moritz,1928,1
26,500m men,Bronze,3.0,Norway,NOR,Roald LARSEN,Europe,St-Moritz,1928,1
27,10000m men,Gold,1.0,United States of America,USA,Irving JAFFEE,North America,Lake-Placid,1932,3
28,10000m men,Silver,2.0,Norway,NOR,Ivar BALLANGRUD,Europe,Lake-Placid,1932,2
29,10000m men,Bronze,3.0,Canada,CAN,Frank STACK,North America,Lake-Placid,1932,1
30,1500m men,Gold,1.0,United States of America,USA,Jack SHEA,North America,Lake-Placid,1932,3
31,1500m men,Silver,2.0,Canada,CAN,Alex Hurd,North America,Lake-Placid,1932,2
32,1500m men,Bronze,3.0,Canada,CAN,William F. LOGAN,North America,Lake-Placid,1932,1
33,5000m men,Gold,1.0,United States of America,USA,Irving JAFFEE,North America,Lake-Placid,1932,3
34,5000m men,Silver,2.0,United States of America,USA,Edward MURPHY,North America,Lake-Placid,1932,2
35,5000m men,Bronze,3.0,Canada,CAN,William F. LOGAN,North America,Lake-Placid,1932,1
36,500m men,Gold,1.0,United States of America,USA,Jack SHEA,North America,Lake-Placid,1932,3
37,500m men,Silver,2.0,Norway,NOR,Bernt EVENSEN,Europe,Lake-Placid,1932,2
38,500m men,Bronze,3.0,Canada,CAN,Alex Hurd,North America,Lake-Placid,1932,1
39,10000m men,Gold,1.0,Norway,NOR,Ivar BALLANGRUD,Europe,Garmisch-Partenkirchen,1936,3
40,10000m men,Silver,2.0,Finland,FIN,Birger WASENIUS,Europe,Garmisch-Partenkirchen,1936,2
41,10000m men,Bronze,3.0,Austria,AUT,Max STIEPL,Europe,Garmisch-Partenkirchen,1936,1
42,1500m men,Gold,1.0,Norway,NOR,Charles MATHISEN,Europe,Garmisch-Partenkirchen,1936,3
43,1500m men,Silver,2.0,Norway,NOR,Ivar BALLANGRUD,Europe,Garmisch-Partenkirchen,1936,2
44,1500m men,Bronze,3.0,Finland,FIN,Birger WASENIUS,Europe,Garmisch-Partenkirchen,1936,1
45,5000m men,Gold,1.0,Norway,NOR,Ivar BALLANGRUD,Europe,Garmisch-Partenkirchen,1936,3
46,5000m men,Silver,2.0,Finland,FIN,Birger WASENIUS,Europe,Garmisch-Partenkirchen,1936,2
